training log: output/train_20260408_123704.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/sveAndriceveKnjige.txt', 'save_path': 'models/andric_transformer_acc5_3e-06LR.pt', 'init_from': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-06, 'max_steps': 30000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc40_3e-05LR.pt
step 8400 | train 3.8730 | val 3.7639 | ppl 43.12 | lr 2.51e-06
step 8450 | train 3.8764 | val 3.7594 | ppl 42.92 | lr 2.51e-06
step 8500 | train 3.8987 | val 3.7502 | ppl 42.53 | lr 2.50e-06
step 8550 | train 3.8573 | val 3.7530 | ppl 42.65 | lr 2.49e-06
step 8600 | train 3.9230 | val 3.7837 | ppl 43.98 | lr 2.49e-06
step 8650 | train 3.8259 | val 3.7676 | ppl 43.28 | lr 2.48e-06
step 8700 | train 3.8994 | val 3.7396 | ppl 42.08 | lr 2.48e-06
step 8750 | train 3.8690 | val 3.7465 | ppl 42.37 | lr 2.47e-06
step 8800 | train 3.9092 | val 3.7225 | ppl 41.37 | lr 2.47e-06
step 8850 | train 3.9051 | val 3.7422 | ppl 42.19 | lr 2.46e-06
step 8900 | train 3.9302 | val 3.7575 | ppl 42.84 | lr 2.45e-06
step 8950 | train 3.8035 | val 3.7286 | ppl 41.62 | lr 2.45e-06
step 9000 | train 3.8852 | val 3.7536 | ppl 42.68 | lr 2.44e-06
step 9050 | train 3.8809 | val 3.7538 | ppl 42.68 | lr 2.44e-06
step 9100 | train 3.8845 | val 3.7626 | ppl 43.06 | lr 2.43e-06
step 9150 | train 3.8943 | val 3.7730 | ppl 43.51 | lr 2.43e-06
step 9200 | train 3.8959 | val 3.7371 | ppl 41.98 | lr 2.42e-06
step 9250 | train 3.8827 | val 3.7480 | ppl 42.44 | lr 2.41e-06
step 9300 | train 3.8842 | val 3.7775 | ppl 43.70 | lr 2.41e-06
step 9350 | train 3.8649 | val 3.7439 | ppl 42.26 | lr 2.40e-06
step 9400 | train 3.8124 | val 3.7385 | ppl 42.03 | lr 2.40e-06
step 9450 | train 3.9043 | val 3.7716 | ppl 43.45 | lr 2.39e-06
step 9500 | train 3.8764 | val 3.7472 | ppl 42.40 | lr 2.39e-06
step 9550 | train 3.8538 | val 3.7590 | ppl 42.91 | lr 2.38e-06
step 9600 | train 3.8733 | val 3.7483 | ppl 42.45 | lr 2.37e-06
step 9650 | train 3.9027 | val 3.7614 | ppl 43.01 | lr 2.37e-06
step 9700 | train 3.8255 | val 3.7411 | ppl 42.14 | lr 2.36e-06
step 9750 | train 3.8957 | val 3.7413 | ppl 42.15 | lr 2.36e-06
step 9800 | train 3.9197 | val 3.7366 | ppl 41.96 | lr 2.35e-06
step 9850 | train 3.8631 | val 3.7383 | ppl 42.03 | lr 2.34e-06
step 9900 | train 3.8731 | val 3.7224 | ppl 41.36 | lr 2.34e-06
step 9950 | train 3.8471 | val 3.7432 | ppl 42.23 | lr 2.33e-06
step 10000 | train 3.9221 | val 3.7566 | ppl 42.80 | lr 2.33e-06
step 10050 | train 3.9320 | val 3.7425 | ppl 42.20 | lr 2.32e-06
step 10100 | train 3.8919 | val 3.7311 | ppl 41.73 | lr 2.31e-06
step 10150 | train 3.8411 | val 3.7480 | ppl 42.44 | lr 2.31e-06
step 10200 | train 3.8741 | val 3.7459 | ppl 42.35 | lr 2.30e-06
step 10250 | train 3.8628 | val 3.7526 | ppl 42.63 | lr 2.29e-06
step 10300 | train 3.8664 | val 3.7137 | ppl 41.00 | lr 2.29e-06
