training log: output/train_20260401_172648.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20_acc5.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 20000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5.pt
step 5500 | train 4.1875 | val 4.1914 | ppl 66.12 | lr 2.98e-05
step 5550 | train 4.0244 | val 4.1556 | ppl 63.79 | lr 2.98e-05
step 5600 | train 4.1913 | val 4.1558 | ppl 63.80 | lr 2.98e-05
step 5650 | train 4.0479 | val 4.1906 | ppl 66.07 | lr 2.98e-05
step 5700 | train 4.1820 | val 4.2122 | ppl 67.50 | lr 2.98e-05
step 5750 | train 4.1090 | val 4.1639 | ppl 64.32 | lr 2.98e-05
step 5800 | train 4.1988 | val 4.1419 | ppl 62.92 | lr 2.98e-05
step 5850 | train 3.9083 | val 4.1480 | ppl 63.31 | lr 2.98e-05
step 5900 | train 4.0055 | val 4.1558 | ppl 63.81 | lr 2.98e-05
step 5950 | train 4.2317 | val 4.1767 | ppl 65.15 | lr 2.98e-05
step 6000 | train 3.8692 | val 4.1643 | ppl 64.35 | lr 2.98e-05
step 6050 | train 3.9357 | val 4.1578 | ppl 63.93 | lr 2.98e-05
step 6100 | train 4.0151 | val 4.1644 | ppl 64.35 | lr 2.98e-05
step 6150 | train 4.0229 | val 4.1810 | ppl 65.43 | lr 2.97e-05
step 6200 | train 4.0182 | val 4.1823 | ppl 65.52 | lr 2.97e-05
step 6250 | train 3.8715 | val 4.1475 | ppl 63.27 | lr 2.97e-05
step 6300 | train 4.0206 | val 4.1627 | ppl 64.25 | lr 2.97e-05
step 6350 | train 4.2100 | val 4.1263 | ppl 61.95 | lr 2.97e-05
step 6400 | train 4.0352 | val 4.1914 | ppl 66.11 | lr 2.97e-05
step 6450 | train 4.1046 | val 4.2047 | ppl 67.00 | lr 2.97e-05
step 6500 | train 4.1789 | val 4.1543 | ppl 63.71 | lr 2.97e-05
step 6550 | train 4.1236 | val 4.1665 | ppl 64.49 | lr 2.97e-05
step 6600 | train 4.1951 | val 4.1937 | ppl 66.27 | lr 2.97e-05
step 6650 | train 4.1299 | val 4.1683 | ppl 64.61 | lr 2.97e-05
step 6700 | train 4.0427 | val 4.1508 | ppl 63.49 | lr 2.97e-05
step 6750 | train 3.9079 | val 4.1520 | ppl 63.56 | lr 2.97e-05
step 6800 | train 4.0536 | val 4.1713 | ppl 64.80 | lr 2.97e-05
step 6850 | train 3.9970 | val 4.1370 | ppl 62.61 | lr 2.97e-05
step 6900 | train 4.0405 | val 4.1776 | ppl 65.21 | lr 2.97e-05
step 6950 | train 4.0255 | val 4.1626 | ppl 64.24 | lr 2.97e-05
step 7000 | train 4.1035 | val 4.1533 | ppl 63.64 | lr 2.97e-05
step 7050 | train 3.9348 | val 4.1640 | ppl 64.33 | lr 2.97e-05
step 7100 | train 4.0949 | val 4.1502 | ppl 63.45 | lr 2.97e-05
step 7150 | train 4.0707 | val 4.1424 | ppl 62.95 | lr 2.97e-05
step 7200 | train 4.0398 | val 4.1383 | ppl 62.70 | lr 2.97e-05
step 7250 | train 4.0311 | val 4.1885 | ppl 65.93 | lr 2.97e-05
step 7300 | train 3.8766 | val 4.1649 | ppl 64.39 | lr 2.96e-05
step 7350 | train 4.0492 | val 4.1322 | ppl 62.32 | lr 2.96e-05
step 7400 | train 4.0711 | val 4.1708 | ppl 64.77 | lr 2.96e-05
step 7450 | train 3.9630 | val 4.1904 | ppl 66.05 | lr 2.96e-05
step 7500 | train 3.9699 | val 4.1376 | ppl 62.65 | lr 2.96e-05
step 7550 | train 4.1285 | val 4.1213 | ppl 61.64 | lr 2.96e-05
step 7600 | train 4.2037 | val 4.1356 | ppl 62.53 | lr 2.96e-05
step 7650 | train 4.0792 | val 4.1709 | ppl 64.77 | lr 2.96e-05
step 7700 | train 3.9992 | val 4.1561 | ppl 63.83 | lr 2.96e-05
step 7750 | train 4.0502 | val 4.1438 | ppl 63.04 | lr 2.96e-05
step 7800 | train 4.1231 | val 4.1572 | ppl 63.90 | lr 2.96e-05
step 7850 | train 4.0054 | val 4.1429 | ppl 62.99 | lr 2.96e-05
step 7900 | train 4.0852 | val 4.1518 | ppl 63.55 | lr 2.96e-05
step 7950 | train 4.0825 | val 4.1937 | ppl 66.27 | lr 2.96e-05
step 8000 | train 4.0020 | val 4.1310 | ppl 62.24 | lr 2.96e-05
step 8050 | train 4.0503 | val 4.1679 | ppl 64.58 | lr 2.96e-05
step 8100 | train 4.1105 | val 4.1153 | ppl 61.27 | lr 2.96e-05
step 8150 | train 4.0345 | val 4.1550 | ppl 63.76 | lr 2.96e-05
step 8200 | train 4.0586 | val 4.1531 | ppl 63.63 | lr 2.96e-05
step 8250 | train 3.9178 | val 4.1681 | ppl 64.59 | lr 2.95e-05
step 8300 | train 4.0345 | val 4.1718 | ppl 64.83 | lr 2.95e-05
step 8350 | train 4.0411 | val 4.1701 | ppl 64.72 | lr 2.95e-05
step 8400 | train 3.9850 | val 4.1521 | ppl 63.57 | lr 2.95e-05
step 8450 | train 4.1939 | val 4.1300 | ppl 62.18 | lr 2.95e-05
step 8500 | train 4.1144 | val 4.1464 | ppl 63.20 | lr 2.95e-05
step 8550 | train 3.9197 | val 4.1573 | ppl 63.90 | lr 2.95e-05
step 8600 | train 3.9446 | val 4.1248 | ppl 61.85 | lr 2.95e-05
step 8650 | train 4.0896 | val 4.1238 | ppl 61.79 | lr 2.95e-05
step 8700 | train 4.1417 | val 4.1479 | ppl 63.30 | lr 2.95e-05
step 8750 | train 3.9835 | val 4.1664 | ppl 64.48 | lr 2.95e-05
step 8800 | train 4.1042 | val 4.1823 | ppl 65.52 | lr 2.95e-05
step 8850 | train 3.9089 | val 4.1726 | ppl 64.88 | lr 2.95e-05
step 8900 | train 3.9565 | val 4.1327 | ppl 62.34 | lr 2.95e-05
step 8950 | train 4.1287 | val 4.1788 | ppl 65.29 | lr 2.95e-05
step 9000 | train 3.9024 | val 4.1880 | ppl 65.89 | lr 2.95e-05
step 9050 | train 4.0960 | val 4.1761 | ppl 65.11 | lr 2.95e-05
step 9100 | train 4.1481 | val 4.1688 | ppl 64.64 | lr 2.95e-05
step 9150 | train 3.9474 | val 4.0875 | ppl 59.59 | lr 2.94e-05
step 9200 | train 4.0318 | val 4.1522 | ppl 63.57 | lr 2.94e-05
step 9250 | train 4.0531 | val 4.1090 | ppl 60.88 | lr 2.94e-05
step 9300 | train 4.0528 | val 4.1313 | ppl 62.26 | lr 2.94e-05
step 9350 | train 4.2418 | val 4.1674 | ppl 64.55 | lr 2.94e-05
step 9400 | train 4.0693 | val 4.1356 | ppl 62.52 | lr 2.94e-05
step 9450 | train 3.9093 | val 4.1731 | ppl 64.92 | lr 2.94e-05
step 9500 | train 4.0871 | val 4.1431 | ppl 63.00 | lr 2.94e-05
step 9550 | train 4.0738 | val 4.1596 | ppl 64.05 | lr 2.94e-05
step 9600 | train 3.9705 | val 4.1276 | ppl 62.03 | lr 2.94e-05
step 9650 | train 4.1072 | val 4.1414 | ppl 62.89 | lr 2.94e-05
step 9700 | train 4.2436 | val 4.1776 | ppl 65.21 | lr 2.94e-05
step 9750 | train 4.1785 | val 4.1639 | ppl 64.32 | lr 2.94e-05
step 9800 | train 4.0111 | val 4.1527 | ppl 63.60 | lr 2.94e-05
step 9850 | train 4.0823 | val 4.1296 | ppl 62.15 | lr 2.94e-05
step 9900 | train 4.0585 | val 4.1736 | ppl 64.95 | lr 2.94e-05
step 9950 | train 4.0743 | val 4.1659 | ppl 64.45 | lr 2.93e-05
step 10000 | train 4.0760 | val 4.1153 | ppl 61.27 | lr 2.93e-05
step 10050 | train 4.0587 | val 4.1489 | ppl 63.37 | lr 2.93e-05
step 10100 | train 3.9550 | val 4.1545 | ppl 63.72 | lr 2.93e-05
step 10150 | train 4.0587 | val 4.1398 | ppl 62.79 | lr 2.93e-05
step 10200 | train 4.2088 | val 4.1448 | ppl 63.11 | lr 2.93e-05
step 10250 | train 4.2262 | val 4.1602 | ppl 64.08 | lr 2.93e-05
step 10300 | train 4.0694 | val 4.1242 | ppl 61.82 | lr 2.93e-05
step 10350 | train 4.1095 | val 4.1347 | ppl 62.47 | lr 2.93e-05
step 10400 | train 4.0696 | val 4.1664 | ppl 64.48 | lr 2.93e-05
step 10450 | train 4.0536 | val 4.1674 | ppl 64.55 | lr 2.93e-05
step 10500 | train 4.0894 | val 4.1964 | ppl 66.45 | lr 2.93e-05
step 10550 | train 4.0329 | val 4.1508 | ppl 63.49 | lr 2.93e-05
step 10600 | train 4.0581 | val 4.1553 | ppl 63.77 | lr 2.93e-05
step 10650 | train 4.0282 | val 4.1601 | ppl 64.08 | lr 2.93e-05
step 10700 | train 4.1130 | val 4.1328 | ppl 62.35 | lr 2.92e-05
step 10750 | train 4.0774 | val 4.1404 | ppl 62.83 | lr 2.92e-05
step 10800 | train 4.0595 | val 4.1772 | ppl 65.18 | lr 2.92e-05
step 10850 | train 3.8655 | val 4.1495 | ppl 63.40 | lr 2.92e-05
step 10900 | train 4.1833 | val 4.1736 | ppl 64.95 | lr 2.92e-05
step 10950 | train 4.1627 | val 4.1639 | ppl 64.32 | lr 2.92e-05
step 11000 | train 4.0144 | val 4.1288 | ppl 62.11 | lr 2.92e-05
step 11050 | train 4.0068 | val 4.1776 | ppl 65.21 | lr 2.92e-05
step 11100 | train 4.1104 | val 4.1706 | ppl 64.75 | lr 2.92e-05
step 11150 | train 4.0839 | val 4.1333 | ppl 62.39 | lr 2.92e-05
step 11200 | train 3.9780 | val 4.1281 | ppl 62.06 | lr 2.92e-05
step 11250 | train 4.2249 | val 4.1248 | ppl 61.86 | lr 2.92e-05
step 11300 | train 4.0672 | val 4.1080 | ppl 60.82 | lr 2.92e-05
step 11350 | train 4.0344 | val 4.1420 | ppl 62.93 | lr 2.92e-05
step 11400 | train 4.1093 | val 4.1218 | ppl 61.67 | lr 2.91e-05
step 11450 | train 4.0903 | val 4.1834 | ppl 65.59 | lr 2.91e-05
step 11500 | train 4.1966 | val 4.1524 | ppl 63.59 | lr 2.91e-05
step 11550 | train 4.1465 | val 4.1490 | ppl 63.37 | lr 2.91e-05
step 11600 | train 4.0484 | val 4.1413 | ppl 62.89 | lr 2.91e-05
step 11650 | train 4.0862 | val 4.1515 | ppl 63.53 | lr 2.91e-05
step 11700 | train 4.0378 | val 4.1464 | ppl 63.20 | lr 2.91e-05
step 11750 | train 4.1533 | val 4.1788 | ppl 65.29 | lr 2.91e-05
step 11800 | train 4.1547 | val 4.1455 | ppl 63.15 | lr 2.91e-05
step 11850 | train 4.0228 | val 4.1605 | ppl 64.10 | lr 2.91e-05
step 11900 | train 4.0228 | val 4.1585 | ppl 63.98 | lr 2.91e-05
step 11950 | train 3.9016 | val 4.1237 | ppl 61.79 | lr 2.91e-05
step 12000 | train 4.0190 | val 4.1575 | ppl 63.91 | lr 2.91e-05
step 12050 | train 4.0088 | val 4.1870 | ppl 65.82 | lr 2.90e-05
step 12100 | train 4.1395 | val 4.1830 | ppl 65.56 | lr 2.90e-05
step 12150 | train 4.1309 | val 4.1738 | ppl 64.96 | lr 2.90e-05
step 12200 | train 4.1277 | val 4.1632 | ppl 64.27 | lr 2.90e-05
step 12250 | train 4.1866 | val 4.1569 | ppl 63.87 | lr 2.90e-05
step 12300 | train 4.0098 | val 4.1447 | ppl 63.10 | lr 2.90e-05
step 12350 | train 4.0787 | val 4.1509 | ppl 63.49 | lr 2.90e-05
step 12400 | train 4.0262 | val 4.1188 | ppl 61.49 | lr 2.90e-05
step 12450 | train 4.1039 | val 4.1534 | ppl 63.65 | lr 2.90e-05
step 12500 | train 4.1575 | val 4.1304 | ppl 62.20 | lr 2.90e-05
step 12550 | train 4.0932 | val 4.1585 | ppl 63.98 | lr 2.90e-05
step 12600 | train 3.9246 | val 4.1091 | ppl 60.89 | lr 2.90e-05
step 12650 | train 4.0485 | val 4.1409 | ppl 62.86 | lr 2.89e-05
step 12700 | train 4.0500 | val 4.1549 | ppl 63.75 | lr 2.89e-05
step 12750 | train 3.9941 | val 4.1416 | ppl 62.90 | lr 2.89e-05
step 12800 | train 4.2038 | val 4.1356 | ppl 62.52 | lr 2.89e-05
step 12850 | train 3.9906 | val 4.1264 | ppl 61.95 | lr 2.89e-05
step 12900 | train 3.9892 | val 4.1526 | ppl 63.60 | lr 2.89e-05
step 12950 | train 4.1412 | val 4.1118 | ppl 61.06 | lr 2.89e-05
step 13000 | train 4.0167 | val 4.1734 | ppl 64.94 | lr 2.89e-05
step 13050 | train 4.0490 | val 4.1509 | ppl 63.49 | lr 2.89e-05
step 13100 | train 4.0674 | val 4.1046 | ppl 60.62 | lr 2.89e-05
step 13150 | train 3.9859 | val 4.1349 | ppl 62.48 | lr 2.89e-05
step 13200 | train 4.0393 | val 4.1398 | ppl 62.79 | lr 2.89e-05
step 13250 | train 4.0632 | val 4.1435 | ppl 63.02 | lr 2.88e-05
step 13300 | train 4.0877 | val 4.1228 | ppl 61.73 | lr 2.88e-05
step 13350 | train 4.1534 | val 4.1429 | ppl 62.99 | lr 2.88e-05
step 13400 | train 4.2150 | val 4.1397 | ppl 62.78 | lr 2.88e-05
step 13450 | train 4.1884 | val 4.1264 | ppl 61.95 | lr 2.88e-05
step 13500 | train 3.9483 | val 4.1465 | ppl 63.21 | lr 2.88e-05
step 13550 | train 4.0266 | val 4.1823 | ppl 65.51 | lr 2.88e-05
step 13600 | train 4.1297 | val 4.1378 | ppl 62.66 | lr 2.88e-05
step 13650 | train 4.0636 | val 4.1215 | ppl 61.65 | lr 2.88e-05
step 13700 | train 4.1790 | val 4.1373 | ppl 62.64 | lr 2.88e-05
step 13750 | train 4.1411 | val 4.1574 | ppl 63.90 | lr 2.88e-05
step 13800 | train 4.1067 | val 4.0994 | ppl 60.30 | lr 2.88e-05
step 13850 | train 4.1024 | val 4.1716 | ppl 64.82 | lr 2.87e-05
step 13900 | train 4.1781 | val 4.1304 | ppl 62.20 | lr 2.87e-05
step 13950 | train 4.0769 | val 4.1470 | ppl 63.24 | lr 2.87e-05
step 14000 | train 4.0398 | val 4.1154 | ppl 61.28 | lr 2.87e-05
step 14050 | train 4.0429 | val 4.1507 | ppl 63.48 | lr 2.87e-05
step 14100 | train 4.1004 | val 4.1069 | ppl 60.76 | lr 2.87e-05
step 14150 | train 4.0066 | val 4.1309 | ppl 62.23 | lr 2.87e-05
step 14200 | train 4.0920 | val 4.1202 | ppl 61.57 | lr 2.87e-05
step 14250 | train 4.1046 | val 4.1287 | ppl 62.10 | lr 2.87e-05
step 14300 | train 3.9860 | val 4.1492 | ppl 63.38 | lr 2.87e-05
step 14350 | train 4.0758 | val 4.1494 | ppl 63.40 | lr 2.87e-05
step 14400 | train 4.1067 | val 4.1345 | ppl 62.46 | lr 2.86e-05
step 14450 | train 4.1209 | val 4.1377 | ppl 62.66 | lr 2.86e-05
step 14500 | train 3.9005 | val 4.1451 | ppl 63.12 | lr 2.86e-05
step 14550 | train 4.1856 | val 4.1276 | ppl 62.03 | lr 2.86e-05
step 14600 | train 3.9825 | val 4.1430 | ppl 62.99 | lr 2.86e-05
step 14650 | train 3.8975 | val 4.1379 | ppl 62.67 | lr 2.86e-05
step 14700 | train 4.0279 | val 4.1406 | ppl 62.84 | lr 2.86e-05
step 14750 | train 4.0915 | val 4.1265 | ppl 61.96 | lr 2.86e-05
step 14800 | train 4.2359 | val 4.1389 | ppl 62.73 | lr 2.86e-05
step 14850 | train 3.8271 | val 4.0979 | ppl 60.21 | lr 2.86e-05
step 14900 | train 4.1145 | val 4.1408 | ppl 62.85 | lr 2.85e-05
step 14950 | train 4.0478 | val 4.1545 | ppl 63.72 | lr 2.85e-05
step 15000 | train 4.0779 | val 4.1582 | ppl 63.96 | lr 2.85e-05
step 15050 | train 4.0855 | val 4.1341 | ppl 62.43 | lr 2.85e-05
step 15100 | train 4.0128 | val 4.1193 | ppl 61.52 | lr 2.85e-05
step 15150 | train 4.0670 | val 4.1188 | ppl 61.49 | lr 2.85e-05
step 15200 | train 3.9940 | val 4.1714 | ppl 64.81 | lr 2.85e-05
step 15250 | train 4.0621 | val 4.1116 | ppl 61.05 | lr 2.85e-05
step 15300 | train 3.9564 | val 4.1394 | ppl 62.76 | lr 2.85e-05
step 15350 | train 3.9781 | val 4.1886 | ppl 65.93 | lr 2.85e-05
step 15400 | train 4.0774 | val 4.1318 | ppl 62.29 | lr 2.85e-05
step 15450 | train 4.1108 | val 4.1337 | ppl 62.41 | lr 2.84e-05
step 15500 | train 4.1391 | val 4.1540 | ppl 63.69 | lr 2.84e-05
step 15550 | train 4.1191 | val 4.1093 | ppl 60.90 | lr 2.84e-05
step 15600 | train 4.1832 | val 4.0913 | ppl 59.82 | lr 2.84e-05
step 15650 | train 3.9926 | val 4.1444 | ppl 63.08 | lr 2.84e-05
step 15700 | train 4.0981 | val 4.1402 | ppl 62.82 | lr 2.84e-05
step 15750 | train 3.9524 | val 4.1448 | ppl 63.10 | lr 2.84e-05
step 15800 | train 4.0791 | val 4.1285 | ppl 62.09 | lr 2.84e-05
step 15850 | train 3.8949 | val 4.1516 | ppl 63.54 | lr 2.84e-05
step 15900 | train 4.0638 | val 4.1166 | ppl 61.35 | lr 2.84e-05
step 15950 | train 3.9274 | val 4.1527 | ppl 63.60 | lr 2.83e-05
