training log: output/train_20260407_184936.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 40, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_1e-04LR.pt
step 34000 | train 3.4908 | val 3.6017 | ppl 36.66 | lr 1.37e-05
step 34200 | train 3.5134 | val 3.6148 | ppl 37.14 | lr 1.36e-05
step 34400 | train 3.4510 | val 3.6108 | ppl 36.99 | lr 1.34e-05
step 34600 | train 3.4777 | val 3.6248 | ppl 37.52 | lr 1.33e-05
step 34800 | train 3.3399 | val 3.6121 | ppl 37.04 | lr 1.31e-05
step 35000 | train 3.4952 | val 3.5859 | ppl 36.09 | lr 1.30e-05
step 35200 | train 3.4646 | val 3.6248 | ppl 37.52 | lr 1.29e-05
step 35400 | train 3.5231 | val 3.6277 | ppl 37.63 | lr 1.27e-05
step 35600 | train 3.5543 | val 3.6223 | ppl 37.42 | lr 1.26e-05
step 35800 | train 3.3930 | val 3.6336 | ppl 37.85 | lr 1.25e-05
step 36000 | train 3.5652 | val 3.6063 | ppl 36.83 | lr 1.23e-05
step 36200 | train 3.5271 | val 3.6117 | ppl 37.03 | lr 1.22e-05
step 36400 | train 3.3126 | val 3.6108 | ppl 37.00 | lr 1.21e-05
step 36600 | train 3.3486 | val 3.6369 | ppl 37.97 | lr 1.19e-05
step 36800 | train 3.4268 | val 3.5979 | ppl 36.52 | lr 1.18e-05
step 37000 | train 3.6738 | val 3.6183 | ppl 37.28 | lr 1.17e-05
step 37200 | train 3.5483 | val 3.6117 | ppl 37.03 | lr 1.15e-05
step 37400 | train 3.3933 | val 3.5984 | ppl 36.54 | lr 1.14e-05
step 37600 | train 3.4313 | val 3.6130 | ppl 37.08 | lr 1.13e-05
step 37800 | train 3.6967 | val 3.6027 | ppl 36.70 | lr 1.11e-05
step 38000 | train 3.5714 | val 3.6181 | ppl 37.27 | lr 1.10e-05
step 38200 | train 3.4402 | val 3.5919 | ppl 36.30 | lr 1.09e-05
step 38400 | train 3.4513 | val 3.6482 | ppl 38.41 | lr 1.08e-05
step 38600 | train 3.4925 | val 3.6442 | ppl 38.25 | lr 1.06e-05
step 38800 | train 3.5917 | val 3.6161 | ppl 37.19 | lr 1.05e-05
step 39000 | train 3.4973 | val 3.6395 | ppl 38.07 | lr 1.04e-05
step 39200 | train 3.4374 | val 3.6268 | ppl 37.59 | lr 1.02e-05
step 39400 | train 3.6832 | val 3.6181 | ppl 37.27 | lr 1.01e-05
step 39600 | train 3.4440 | val 3.6360 | ppl 37.94 | lr 1.00e-05
step 39800 | train 3.4536 | val 3.6115 | ppl 37.02 | lr 9.87e-06
step 40000 | train 3.5730 | val 3.6301 | ppl 37.71 | lr 9.75e-06
step 40200 | train 3.4381 | val 3.6471 | ppl 38.36 | lr 9.63e-06
step 40400 | train 3.5402 | val 3.6182 | ppl 37.27 | lr 9.51e-06
step 40600 | train 3.4043 | val 3.6509 | ppl 38.51 | lr 9.39e-06
step 40800 | train 3.4833 | val 3.6433 | ppl 38.22 | lr 9.27e-06
step 41000 | train 3.5338 | val 3.6225 | ppl 37.43 | lr 9.15e-06
step 41200 | train 3.6366 | val 3.6243 | ppl 37.50 | lr 9.03e-06
step 41400 | train 3.4185 | val 3.5600 | ppl 35.16 | lr 8.91e-06
step 41600 | train 3.4562 | val 3.6158 | ppl 37.18 | lr 8.80e-06
step 41800 | train 3.6344 | val 3.6399 | ppl 38.09 | lr 8.68e-06
step 42000 | train 3.5053 | val 3.6154 | ppl 37.17 | lr 8.56e-06
step 42200 | train 3.5665 | val 3.6330 | ppl 37.82 | lr 8.45e-06
step 42400 | train 3.4116 | val 3.6148 | ppl 37.14 | lr 8.34e-06
step 42600 | train 3.5972 | val 3.6140 | ppl 37.11 | lr 8.23e-06
step 42800 | train 3.3721 | val 3.6053 | ppl 36.79 | lr 8.11e-06
step 43000 | train 3.4816 | val 3.6257 | ppl 37.55 | lr 8.00e-06
step 43200 | train 3.5611 | val 3.6149 | ppl 37.15 | lr 7.89e-06
step 43400 | train 3.4593 | val 3.6213 | ppl 37.39 | lr 7.79e-06
step 43600 | train 3.5151 | val 3.5902 | ppl 36.24 | lr 7.68e-06
step 43800 | train 3.4925 | val 3.6289 | ppl 37.67 | lr 7.57e-06
step 44000 | train 3.6423 | val 3.6342 | ppl 37.87 | lr 7.47e-06
step 44200 | train 3.5554 | val 3.5928 | ppl 36.34 | lr 7.36e-06
step 44400 | train 3.5851 | val 3.6381 | ppl 38.02 | lr 7.26e-06
step 44600 | train 3.6277 | val 3.6389 | ppl 38.05 | lr 7.16e-06
step 44800 | train 3.4496 | val 3.6218 | ppl 37.40 | lr 7.05e-06
step 45000 | train 3.7535 | val 3.6109 | ppl 37.00 | lr 6.95e-06
step 45200 | train 3.5134 | val 3.6055 | ppl 36.80 | lr 6.85e-06
step 45400 | train 3.5280 | val 3.6218 | ppl 37.40 | lr 6.76e-06
step 45600 | train 3.4768 | val 3.6207 | ppl 37.36 | lr 6.66e-06
step 45800 | train 3.6031 | val 3.6164 | ppl 37.21 | lr 6.56e-06
step 46000 | train 3.5693 | val 3.5787 | ppl 35.83 | lr 6.47e-06
step 46200 | train 3.5684 | val 3.6570 | ppl 38.75 | lr 6.37e-06
step 46400 | train 3.5134 | val 3.6148 | ppl 37.15 | lr 6.28e-06
step 46600 | train 3.5804 | val 3.6066 | ppl 36.84 | lr 6.19e-06
step 46800 | train 3.6754 | val 3.6497 | ppl 38.46 | lr 6.10e-06
step 47000 | train 3.5062 | val 3.5780 | ppl 35.80 | lr 6.01e-06
step 47200 | train 3.3528 | val 3.6034 | ppl 36.72 | lr 5.92e-06
step 47400 | train 3.4431 | val 3.6209 | ppl 37.37 | lr 5.83e-06
step 47600 | train 3.4802 | val 3.6167 | ppl 37.21 | lr 5.75e-06
step 47800 | train 3.5393 | val 3.5924 | ppl 36.32 | lr 5.66e-06
step 48000 | train 3.5212 | val 3.6373 | ppl 37.99 | lr 5.58e-06
step 48200 | train 3.5549 | val 3.5929 | ppl 36.34 | lr 5.50e-06
step 48400 | train 3.6044 | val 3.6085 | ppl 36.91 | lr 5.41e-06
step 48600 | train 3.3110 | val 3.6106 | ppl 36.99 | lr 5.33e-06
step 48800 | train 3.4645 | val 3.6343 | ppl 37.88 | lr 5.26e-06
step 49000 | train 3.4204 | val 3.6510 | ppl 38.51 | lr 5.18e-06
step 49200 | train 3.6026 | val 3.5650 | ppl 35.34 | lr 5.10e-06
step 49400 | train 3.5053 | val 3.5991 | ppl 36.57 | lr 5.03e-06
step 49600 | train 3.5520 | val 3.5839 | ppl 36.01 | lr 4.95e-06
step 49800 | train 3.5839 | val 3.6264 | ppl 37.58 | lr 4.88e-06
step 50000 | train 3.5254 | val 3.6174 | ppl 37.24 | lr 4.81e-06
step 50200 | train 3.6735 | val 3.5603 | ppl 35.17 | lr 4.74e-06
step 50400 | train 3.4882 | val 3.6157 | ppl 37.18 | lr 4.67e-06
step 50600 | train 3.5156 | val 3.6294 | ppl 37.69 | lr 4.60e-06
step 50800 | train 3.4492 | val 3.6204 | ppl 37.35 | lr 4.54e-06
step 51000 | train 3.5575 | val 3.6252 | ppl 37.53 | lr 4.47e-06
step 51200 | train 3.4009 | val 3.6313 | ppl 37.76 | lr 4.41e-06
step 51400 | train 3.5502 | val 3.6091 | ppl 36.93 | lr 4.35e-06
step 51600 | train 3.5150 | val 3.6266 | ppl 37.58 | lr 4.28e-06
step 51800 | train 3.4933 | val 3.6175 | ppl 37.25 | lr 4.23e-06
step 52000 | train 3.6210 | val 3.6012 | ppl 36.64 | lr 4.17e-06
step 52200 | train 3.5487 | val 3.6927 | ppl 40.15 | lr 4.11e-06
step 52400 | train 3.3999 | val 3.6225 | ppl 37.43 | lr 4.05e-06
step 52600 | train 3.6527 | val 3.6439 | ppl 38.24 | lr 4.00e-06
step 52800 | train 3.5497 | val 3.6180 | ppl 37.26 | lr 3.95e-06
step 53000 | train 3.5838 | val 3.6235 | ppl 37.47 | lr 3.90e-06
step 53200 | train 3.3866 | val 3.6066 | ppl 36.84 | lr 3.85e-06
step 53400 | train 3.3776 | val 3.6236 | ppl 37.47 | lr 3.80e-06
step 53600 | train 3.5485 | val 3.6071 | ppl 36.86 | lr 3.75e-06
step 53800 | train 3.5051 | val 3.6280 | ppl 37.64 | lr 3.71e-06
