training log: output/train_20260403_205642.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 100000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc10_2e-04LR.pt
step 19200 | train 3.5713 | val 3.7565 | ppl 42.80 | lr 1.00e-04
step 19400 | train 3.7108 | val 3.7049 | ppl 40.65 | lr 1.00e-04
step 19600 | train 3.4383 | val 3.7221 | ppl 41.35 | lr 1.00e-04
step 19800 | train 3.4735 | val 3.7325 | ppl 41.78 | lr 1.00e-04
step 20000 | train 3.5925 | val 3.7712 | ppl 43.43 | lr 1.00e-04
step 20200 | train 3.7385 | val 3.7133 | ppl 40.99 | lr 1.00e-04
step 20400 | train 3.7318 | val 3.7114 | ppl 40.91 | lr 1.00e-04
step 20600 | train 3.5549 | val 3.7238 | ppl 41.42 | lr 1.00e-04
step 20800 | train 3.7431 | val 3.7616 | ppl 43.02 | lr 1.00e-04
step 21000 | train 3.5718 | val 3.7685 | ppl 43.32 | lr 1.00e-04
step 21200 | train 3.8215 | val 3.7203 | ppl 41.28 | lr 1.00e-04
step 21400 | train 3.6258 | val 3.7207 | ppl 41.29 | lr 1.00e-04
step 21600 | train 3.7342 | val 3.7483 | ppl 42.45 | lr 1.00e-04
step 21800 | train 3.6345 | val 3.7373 | ppl 41.98 | lr 1.00e-04
step 22000 | train 3.6428 | val 3.7490 | ppl 42.48 | lr 1.00e-04
step 22200 | train 3.6312 | val 3.6868 | ppl 39.92 | lr 1.00e-04
step 22400 | train 3.5982 | val 3.7098 | ppl 40.85 | lr 1.00e-04
step 22600 | train 3.6287 | val 3.7129 | ppl 40.97 | lr 1.00e-04
step 22800 | train 3.6166 | val 3.7358 | ppl 41.92 | lr 1.00e-04
step 23000 | train 3.6932 | val 3.7929 | ppl 44.39 | lr 1.00e-04
step 23200 | train 3.6263 | val 3.7567 | ppl 42.81 | lr 1.00e-04
step 23400 | train 3.6564 | val 3.7051 | ppl 40.65 | lr 1.00e-04
step 23600 | train 3.6650 | val 3.7466 | ppl 42.38 | lr 1.00e-04
step 23800 | train 3.6203 | val 3.7484 | ppl 42.45 | lr 1.00e-04
step 24000 | train 3.5973 | val 3.7372 | ppl 41.98 | lr 1.00e-04
