training log: output/train_20260402_133552.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_5e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 5e-05, 'max_steps': 25000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_bigLR.pt
step 6650 | train 3.7634 | val 3.8692 | ppl 47.90 | lr 4.97e-05
step 6700 | train 3.9049 | val 3.8820 | ppl 48.52 | lr 4.97e-05
step 6750 | train 3.7819 | val 3.9490 | ppl 51.88 | lr 4.97e-05
step 6800 | train 3.9206 | val 3.9350 | ppl 51.16 | lr 4.97e-05
step 6850 | train 3.9003 | val 3.9456 | ppl 51.71 | lr 4.97e-05
step 6900 | train 3.9131 | val 3.9725 | ppl 53.12 | lr 4.97e-05
step 6950 | train 3.8433 | val 3.8807 | ppl 48.46 | lr 4.97e-05
step 7000 | train 3.7835 | val 3.9123 | ppl 50.01 | lr 4.97e-05
step 7050 | train 3.7958 | val 3.9249 | ppl 50.65 | lr 4.96e-05
step 7100 | train 3.9359 | val 3.8809 | ppl 48.47 | lr 4.96e-05
step 7150 | train 3.7425 | val 3.8979 | ppl 49.30 | lr 4.96e-05
step 7200 | train 3.7735 | val 3.9239 | ppl 50.60 | lr 4.96e-05
step 7250 | train 3.7975 | val 3.9318 | ppl 51.00 | lr 4.96e-05
step 7300 | train 3.9069 | val 3.8968 | ppl 49.24 | lr 4.96e-05
step 7350 | train 3.8247 | val 3.9254 | ppl 50.67 | lr 4.96e-05
step 7400 | train 3.8524 | val 3.8883 | ppl 48.83 | lr 4.96e-05
step 7450 | train 3.7031 | val 3.9519 | ppl 52.04 | lr 4.96e-05
step 7500 | train 3.8224 | val 3.9049 | ppl 49.65 | lr 4.96e-05
step 7550 | train 3.9472 | val 3.9014 | ppl 49.47 | lr 4.96e-05
step 7600 | train 3.5121 | val 3.8745 | ppl 48.16 | lr 4.96e-05
step 7650 | train 3.9171 | val 3.9064 | ppl 49.72 | lr 4.96e-05
step 7700 | train 3.8772 | val 3.8866 | ppl 48.74 | lr 4.96e-05
step 7750 | train 3.8118 | val 3.9269 | ppl 50.75 | lr 4.96e-05
step 7800 | train 3.6924 | val 3.9427 | ppl 51.56 | lr 4.96e-05
step 7850 | train 3.7655 | val 3.9151 | ppl 50.15 | lr 4.96e-05
step 7900 | train 3.8780 | val 3.8666 | ppl 47.78 | lr 4.96e-05
step 7950 | train 3.7113 | val 3.9132 | ppl 50.06 | lr 4.96e-05
step 8000 | train 3.8400 | val 3.8562 | ppl 47.29 | lr 4.95e-05
step 8050 | train 3.7075 | val 3.9283 | ppl 50.82 | lr 4.95e-05
step 8100 | train 3.8392 | val 3.9167 | ppl 50.23 | lr 4.95e-05
step 8150 | train 3.8908 | val 3.9204 | ppl 50.42 | lr 4.95e-05
step 8200 | train 3.8293 | val 3.9074 | ppl 49.77 | lr 4.95e-05
step 8250 | train 3.8281 | val 3.9416 | ppl 51.50 | lr 4.95e-05
step 8300 | train 3.7500 | val 3.8827 | ppl 48.55 | lr 4.95e-05
step 8350 | train 3.9105 | val 3.8954 | ppl 49.18 | lr 4.95e-05
step 8400 | train 3.7709 | val 3.8390 | ppl 46.48 | lr 4.95e-05
step 8450 | train 3.7482 | val 3.9408 | ppl 51.46 | lr 4.95e-05
step 8500 | train 3.9990 | val 3.8898 | ppl 48.90 | lr 4.95e-05
step 8550 | train 3.7189 | val 3.9309 | ppl 50.95 | lr 4.95e-05
step 8600 | train 3.8994 | val 3.8706 | ppl 47.97 | lr 4.95e-05
step 8650 | train 3.8822 | val 3.8822 | ppl 48.53 | lr 4.95e-05
step 8700 | train 3.8700 | val 3.9607 | ppl 52.49 | lr 4.95e-05
step 8750 | train 3.8771 | val 3.8972 | ppl 49.26 | lr 4.95e-05
step 8800 | train 3.8491 | val 3.9457 | ppl 51.71 | lr 4.95e-05
step 8850 | train 3.8010 | val 3.8920 | ppl 49.01 | lr 4.94e-05
step 8900 | train 3.8476 | val 3.9281 | ppl 50.81 | lr 4.94e-05
step 8950 | train 3.8187 | val 3.8946 | ppl 49.14 | lr 4.94e-05
step 9000 | train 3.8022 | val 3.9459 | ppl 51.72 | lr 4.94e-05
