training log: output/train_20260331_202920.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20.pt', 'init_from': None, 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0003, 'max_steps': 10000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 1, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
step 4800 | train 4.4129 | val 4.6032 | ppl 99.81 | lr 1.80e-04
step 4850 | train 4.6142 | val 4.5857 | ppl 98.07 | lr 1.78e-04
step 4900 | train 4.3771 | val 4.5938 | ppl 98.87 | lr 1.76e-04
step 4950 | train 4.5045 | val 4.5858 | ppl 98.08 | lr 1.74e-04
step 5000 | train 4.4787 | val 4.5578 | ppl 95.37 | lr 1.72e-04
step 5050 | train 4.5480 | val 4.5821 | ppl 97.72 | lr 1.69e-04
step 5100 | train 4.5176 | val 4.5828 | ppl 97.79 | lr 1.67e-04
step 5150 | train 4.5805 | val 4.5424 | ppl 93.92 | lr 1.65e-04
step 5200 | train 4.5126 | val 4.5822 | ppl 97.73 | lr 1.63e-04
step 5250 | train 4.5662 | val 4.5394 | ppl 93.64 | lr 1.61e-04
step 5300 | train 4.5504 | val 4.5677 | ppl 96.32 | lr 1.58e-04
step 5350 | train 4.4429 | val 4.5511 | ppl 94.74 | lr 1.56e-04
step 5400 | train 4.4293 | val 4.5519 | ppl 94.81 | lr 1.54e-04
step 5450 | train 4.3748 | val 4.5437 | ppl 94.04 | lr 1.52e-04
step 5500 | train 4.5893 | val 4.5768 | ppl 97.20 | lr 1.50e-04
step 5550 | train 4.4368 | val 4.5278 | ppl 92.55 | lr 1.48e-04
step 5600 | train 4.5954 | val 4.5435 | ppl 94.02 | lr 1.45e-04
step 5650 | train 4.4377 | val 4.5605 | ppl 95.63 | lr 1.43e-04
step 5700 | train 4.5797 | val 4.5745 | ppl 96.98 | lr 1.41e-04
step 5750 | train 4.4769 | val 4.5259 | ppl 92.38 | lr 1.39e-04
step 5800 | train 4.5859 | val 4.5040 | ppl 90.37 | lr 1.37e-04
step 5850 | train 4.3204 | val 4.5100 | ppl 90.92 | lr 1.35e-04
step 5900 | train 4.3950 | val 4.5146 | ppl 91.34 | lr 1.33e-04
step 5950 | train 4.6036 | val 4.5296 | ppl 92.72 | lr 1.30e-04
step 6000 | train 4.2705 | val 4.5114 | ppl 91.05 | lr 1.28e-04
step 6050 | train 4.3018 | val 4.4961 | ppl 89.67 | lr 1.26e-04
step 6100 | train 4.3780 | val 4.5124 | ppl 91.14 | lr 1.24e-04
step 6150 | train 4.4321 | val 4.5106 | ppl 90.98 | lr 1.22e-04
step 6200 | train 4.3942 | val 4.5271 | ppl 92.49 | lr 1.20e-04
step 6250 | train 4.2495 | val 4.4786 | ppl 88.11 | lr 1.18e-04
step 6300 | train 4.3916 | val 4.4906 | ppl 89.18 | lr 1.16e-04
step 6350 | train 4.5420 | val 4.4720 | ppl 87.53 | lr 1.14e-04
step 6400 | train 4.4082 | val 4.5134 | ppl 91.23 | lr 1.12e-04
