training log: output/train_20260401_225533.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_bigLR.pt
step 4700 | train 3.9940 | val 4.0785 | ppl 59.06 | lr 9.99e-05
step 4750 | train 4.1711 | val 4.1151 | ppl 61.26 | lr 9.99e-05
step 4800 | train 3.8408 | val 4.1142 | ppl 61.20 | lr 9.99e-05
step 4850 | train 4.1330 | val 4.0926 | ppl 59.90 | lr 9.99e-05
step 4900 | train 3.8655 | val 4.1010 | ppl 60.40 | lr 9.99e-05
step 4950 | train 3.9982 | val 4.1082 | ppl 60.84 | lr 9.99e-05
step 5000 | train 3.9365 | val 4.0931 | ppl 59.92 | lr 9.99e-05
step 5050 | train 4.0639 | val 4.1264 | ppl 61.96 | lr 9.99e-05
step 5100 | train 4.0153 | val 4.1186 | ppl 61.48 | lr 9.99e-05
step 5150 | train 4.1085 | val 4.0846 | ppl 59.42 | lr 9.99e-05
step 5200 | train 4.0328 | val 4.1234 | ppl 61.77 | lr 9.99e-05
step 5250 | train 4.0896 | val 4.0880 | ppl 59.62 | lr 9.99e-05
step 5300 | train 4.0778 | val 4.1228 | ppl 61.73 | lr 9.99e-05
step 5350 | train 3.9908 | val 4.0991 | ppl 60.29 | lr 9.99e-05
step 5400 | train 3.9457 | val 4.0967 | ppl 60.14 | lr 9.99e-05
step 5450 | train 3.8807 | val 4.0976 | ppl 60.19 | lr 9.99e-05
step 5500 | train 4.1380 | val 4.1338 | ppl 62.41 | lr 9.99e-05
step 5550 | train 3.9741 | val 4.1026 | ppl 60.50 | lr 9.99e-05
step 5600 | train 4.1424 | val 4.0993 | ppl 60.30 | lr 9.99e-05
step 5650 | train 3.9835 | val 4.1354 | ppl 62.51 | lr 9.99e-05
step 5700 | train 4.1158 | val 4.1539 | ppl 63.68 | lr 9.99e-05
step 5750 | train 4.0495 | val 4.1086 | ppl 60.86 | lr 9.99e-05
step 5800 | train 4.1519 | val 4.0862 | ppl 59.51 | lr 9.99e-05
step 5850 | train 3.8466 | val 4.0926 | ppl 59.89 | lr 9.99e-05
step 5900 | train 3.9459 | val 4.0970 | ppl 60.16 | lr 9.99e-05
step 5950 | train 4.1678 | val 4.1219 | ppl 61.68 | lr 9.99e-05
step 6000 | train 3.8095 | val 4.1071 | ppl 60.77 | lr 9.99e-05
step 6050 | train 3.8804 | val 4.0983 | ppl 60.24 | lr 9.99e-05
step 6100 | train 3.9653 | val 4.1074 | ppl 60.79 | lr 9.99e-05
step 6150 | train 3.9516 | val 4.1229 | ppl 61.74 | lr 9.99e-05
step 6200 | train 3.9540 | val 4.1245 | ppl 61.84 | lr 9.99e-05
step 6250 | train 3.8061 | val 4.0928 | ppl 59.91 | lr 9.99e-05
step 6300 | train 3.9535 | val 4.1084 | ppl 60.85 | lr 9.99e-05
step 6350 | train 4.1564 | val 4.0675 | ppl 58.41 | lr 9.99e-05
step 6400 | train 3.9725 | val 4.1324 | ppl 62.33 | lr 9.99e-05
step 6450 | train 4.0531 | val 4.1487 | ppl 63.35 | lr 9.99e-05
step 6500 | train 4.1159 | val 4.0992 | ppl 60.29 | lr 9.99e-05
step 6550 | train 4.0642 | val 4.1103 | ppl 60.96 | lr 9.99e-05
step 6600 | train 4.1355 | val 4.1362 | ppl 62.56 | lr 9.99e-05
