training log: output/train_20260331_230036.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 75000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20.pt
step 5300 | train 4.3204 | val 4.3813 | ppl 79.94 | lr 3.00e-05
step 5350 | train 4.2167 | val 4.3692 | ppl 78.98 | lr 3.00e-05
step 5400 | train 4.1850 | val 4.3687 | ppl 78.94 | lr 3.00e-05
step 5450 | train 4.1359 | val 4.3653 | ppl 78.68 | lr 3.00e-05
step 5500 | train 4.3713 | val 4.4028 | ppl 81.68 | lr 3.00e-05
step 5550 | train 4.2088 | val 4.3619 | ppl 78.41 | lr 3.00e-05
step 5600 | train 4.3773 | val 4.3750 | ppl 79.44 | lr 3.00e-05
step 5650 | train 4.2295 | val 4.3987 | ppl 81.35 | lr 3.00e-05
step 5700 | train 4.3769 | val 4.4231 | ppl 83.36 | lr 3.00e-05
step 5750 | train 4.2900 | val 4.3693 | ppl 78.99 | lr 3.00e-05
step 5800 | train 4.3798 | val 4.3518 | ppl 77.62 | lr 3.00e-05
step 5850 | train 4.1071 | val 4.3565 | ppl 77.98 | lr 3.00e-05
step 5900 | train 4.1940 | val 4.3637 | ppl 78.55 | lr 3.00e-05
step 5950 | train 4.4147 | val 4.3829 | ppl 80.07 | lr 3.00e-05
step 6000 | train 4.0716 | val 4.3720 | ppl 79.20 | lr 3.00e-05
step 6050 | train 4.1125 | val 4.3645 | ppl 78.61 | lr 3.00e-05
step 6100 | train 4.1989 | val 4.3778 | ppl 79.67 | lr 3.00e-05
step 6150 | train 4.2375 | val 4.3818 | ppl 79.98 | lr 3.00e-05
step 6200 | train 4.2123 | val 4.3969 | ppl 81.20 | lr 3.00e-05
step 6250 | train 4.0700 | val 4.3516 | ppl 77.60 | lr 3.00e-05
step 6300 | train 4.2132 | val 4.3664 | ppl 78.76 | lr 3.00e-05
step 6350 | train 4.3828 | val 4.3429 | ppl 76.93 | lr 3.00e-05
step 6400 | train 4.2355 | val 4.3976 | ppl 81.26 | lr 3.00e-05
step 6450 | train 4.2708 | val 4.4082 | ppl 82.12 | lr 3.00e-05
step 6500 | train 4.3583 | val 4.3613 | ppl 78.36 | lr 3.00e-05
step 6550 | train 4.3057 | val 4.3766 | ppl 79.56 | lr 3.00e-05
step 6600 | train 4.3832 | val 4.4009 | ppl 81.52 | lr 3.00e-05
step 6650 | train 4.3110 | val 4.3737 | ppl 79.34 | lr 3.00e-05
step 6700 | train 4.2554 | val 4.3618 | ppl 78.40 | lr 3.00e-05
step 6750 | train 4.1012 | val 4.3624 | ppl 78.44 | lr 3.00e-05
step 6800 | train 4.2324 | val 4.3743 | ppl 79.38 | lr 3.00e-05
step 6850 | train 4.1794 | val 4.3416 | ppl 76.83 | lr 3.00e-05
step 6900 | train 4.2273 | val 4.3849 | ppl 80.23 | lr 3.00e-05
step 6950 | train 4.2277 | val 4.3713 | ppl 79.15 | lr 3.00e-05
step 7000 | train 4.2714 | val 4.3590 | ppl 78.18 | lr 3.00e-05
step 7050 | train 4.1549 | val 4.3720 | ppl 79.20 | lr 3.00e-05
step 7100 | train 4.2607 | val 4.3572 | ppl 78.04 | lr 3.00e-05
step 7150 | train 4.2525 | val 4.3604 | ppl 78.29 | lr 3.00e-05
step 7200 | train 4.2303 | val 4.3458 | ppl 77.15 | lr 3.00e-05
step 7250 | train 4.2400 | val 4.3938 | ppl 80.95 | lr 3.00e-05
step 7300 | train 4.0728 | val 4.3695 | ppl 79.01 | lr 3.00e-05
step 7350 | train 4.2332 | val 4.3352 | ppl 76.34 | lr 3.00e-05
step 7400 | train 4.2552 | val 4.3771 | ppl 79.61 | lr 3.00e-05
step 7450 | train 4.1627 | val 4.3973 | ppl 81.23 | lr 3.00e-05
step 7500 | train 4.1779 | val 4.3448 | ppl 77.08 | lr 3.00e-05
step 7550 | train 4.3134 | val 4.3297 | ppl 75.92 | lr 3.00e-05
step 7600 | train 4.3912 | val 4.3384 | ppl 76.58 | lr 3.00e-05
step 7650 | train 4.2635 | val 4.3750 | ppl 79.44 | lr 3.00e-05
step 7700 | train 4.2020 | val 4.3632 | ppl 78.51 | lr 3.00e-05
